EA_CD,SBRB_NM
19914705,LANGA
19914738,LANGA
19914444,LANGA
19913697,LANGA
19914671,LANGA
19914698,LANGA
19910889,LANGA
19913685,LANGA
19913680,LANGA
19914674,LANGA
19913664,LANGA
19914447,LANGA
19913683,LANGA
19914719,LANGA
19913660,LANGA
19914677,LANGA
19913661,LANGA
19910874,LANGA
19914697,LANGA
19914700,LANGA
19913676,LANGA
19914678,LANGA
19913677,LANGA
19914696,LANGA
19914708,LANGA
19913684,LANGA
19913686,LANGA
19910876,LANGA
19914699,LANGA
19913703,LANGA
19914737,LANGA
19913672,LANGA
19913695,LANGA
19914701,LANGA
19914704,LANGA
19914672,LANGA
19913674,LANGA
19913675,LANGA
19913688,LANGA
19914739,LANGA
19913687,LANGA
19913666,LANGA
19913700,LANGA
19913673,LANGA
19913692,LANGA
19913704,LANGA
19910096,SUN CITY
19910094,SUN CITY
19910097,SUN CITY
19910093,SOMERSET FOREST
19913177,HAPPY VALLEY
19913175,HAPPY VALLEY
19913173,HAPPY VALLEY
19913176,HAPPY VALLEY
19913178,HAPPY VALLEY
19914309,SILVEROAKS
19914311,SILVEROAKS
19910313,THE LINK
19910309,WESTRIDGE - SOMERSET WEST
19910306,WESTRIDGE - SOMERSET WEST
19910401,STRANDVALE
19910239,BROADLANDS VILLAGE
19910178,BROADLANDS VILLAGE
19910238,BROADLANDS VILLAGE
19911097,GOLDEN HILL EXT 1
19914020,DURMONTE
19910161,FAIRVIEW GOLF ESTATE
19910163,FAIRVIEW GOLF ESTATE
19910162,FAIRVIEW GOLF ESTATE
19914998,MOUILLE POINT
19914993,MOUILLE POINT
19914992,MOUILLE POINT
19914983,MOUILLE POINT
19914987,MOUILLE POINT
19914986,MOUILLE POINT
19914996,MOUILLE POINT
19914995,MOUILLE POINT
19914988,MOUILLE POINT
19914982,MOUILLE POINT
19914989,MOUILLE POINT
19914997,MOUILLE POINT
19916353,SHERWOOD
19916385,AVONDALE - WESFLEUR
19916386,AVONDALE - WESFLEUR
19916390,AVONDALE - WESFLEUR
19916404,ROBINVALE
19916410,ROBINVALE
19916327,ROBINVALE
19916408,ROBINVALE
19915750,BLOEKOMBOS
19916018,BLOEKOMBOS
19912792,MONTANA
19912385,MONTANA
19912381,MONTEVIDEO
19914939,TAMBOERSKLOOF
19914938,TAMBOERSKLOOF
19914937,TAMBOERSKLOOF
19914923,TAMBOERSKLOOF
19914935,TAMBOERSKLOOF
19914931,TAMBOERSKLOOF
19914940,TAMBOERSKLOOF
19914925,TAMBOERSKLOOF
19916352,SAXONSEA
19916354,MALMESBURY FARMS
19914023,VIERLANDEN
19916097,VIERLANDEN
19914006,MORNINGSTAR
19916366,THE CREST
19916053,BONNIE BRAE
19916051,GOLIATH ESTATE
19915336,VIKING VILLAGE
19915847,VAN RIEBEECKSHOF
19915799,DOOR DE KRAAL
19915779,TYGERVALLEY WATERFRONT
19915793,TYGERVALLEY WATERFRONT
19915626,MONTE VISTA
19915670,MONTE VISTA
19915630,NORTHGATE
19912486,PAROW NORTH
19915672,EDGEMEAD
19915650,EDGEMEAD
19915339,PEERLESS PARK NORTH
19915333,PEERLESS PARK NORTH
19915319,PEERLESS PARK EAST
19915316,PEERLESS PARK WEST
19915317,PEERLESS PARK WEST
19915308,EIKENDAL
19913970,VREDEKLOOF EAST
19913945,BRACKEN HEIGHTS
19915000,FRESNAYE
19912491,DE TIJGER
19915387,GLENWOOD
19915430,GLENWOOD
19915386,GLENWOOD
19912471,FAIRFIELD ESTATE
19914562,CHURCHILL ESTATE
19915514,CHURCHILL ESTATE
19915181,GOODWOOD  EXT 1
19915424,GOODWOOD  EXT 1
19915454,GLENLILY
19912465,GLENLILY
19915449,RICHMOND
19912454,PAROW VALLEY
19915148,PAROW VALLEY
19910917,WP SHOWGROUNDS
19912424,BALVENIE
19912432,BALVENIE
19912429,BALVENIE
19910861,HAZENDAL
19910869,HAZENDAL
19910871,HAZENDAL
19914473,SYBRAND PARK
19912800,KALKSTEENFONTEIN
19912806,KALKSTEENFONTEIN
19912796,KALKSTEENFONTEIN
19912802,KALKSTEENFONTEIN
19912395,VALHALLA PARK
19912390,VALHALLA PARK
19914523,VALHALLA PARK
19914521,VALHALLA PARK
19912389,VALHALLA PARK
19912794,VALHALLA PARK
19912799,VALHALLA PARK
19912393,NOOITGEDACHT
19912387,NOOITGEDACHT
19915086,SANLAMHOF
19915088,SANLAMHOF
19913921,LOUMAR
19915081,TRIANGLE FARM
19915082,GLENHAVEN
19914314,MIKRO PARK
19913502,BELHAR EXT 13
19914681,BELHAR EXT 12
19914691,BELHAR EXT 23
19913522,BELHAR EXT 23
19913509,BELHAR EXT 7
19914693,BELHAR EXT 3
19914695,BELHAR EXT 4
19914814,UITSIG
19915025,UITSIG
19914606,UITSIG
19913194,WEMBLEY PARK
19913491,DELFT 1 & 2
19914177,DELFT 1 & 2
19914180,DELFT 1 & 2
19913498,DELFT 1 & 2
19913481,DELFT 4
19913480,DELFT 4
19914170,DELFT 5
19913470,DELFT 5
19913479,THE HAGUE
19913482,THE HAGUE
19913492,THE HAGUE
19914230,THE HAGUE
19914225,THE HAGUE
19913493,THE HAGUE
19913485,THE HAGUE
19913484,THE HAGUE
19914231,THE HAGUE
19913495,THE HAGUE
19913489,THE HAGUE
19913474,THE HAGUE
19914222,THE HAGUE
19914251,OUDEKRAAL
19914248,OUDEKRAAL
19912541,PENLYN ESTATE
19912543,PENLYN ESTATE
19912534,PENLYN ESTATE
19912537,PENLYN ESTATE
19914044,HATTON
19914045,MOUNTVIEW
19912533,MOUNTVIEW
19912536,MOUNTVIEW
19913630,NEWFIELDS
19914041,NEWFIELDS
19913626,NEWFIELDS
19914042,NEWFIELDS
19914352,WESBANK
19913856,WESBANK
19914345,WESBANK
19913866,WESBANK
19913842,WESBANK
19914349,WESBANK
19914350,WESBANK
19914363,WESBANK
19914344,WESBANK
19914348,WESBANK
19913853,WESBANK
19913862,WESBANK
19913864,WESBANK
19913863,WESBANK
19914354,WESBANK
19913865,WESBANK
19914347,WESBANK
19913859,WESBANK
19913197,WESBANK
19914351,WESBANK
19913854,WESBANK
19913861,WESBANK
19913836,WESBANK
19914355,WESBANK
19913847,WESBANK
19914357,WESBANK
19914346,WESBANK
19914353,WESBANK
19913858,WESBANK
19914167,DELFT 6
19914362,DELFT 6
19914157,DELFT 6
19914161,DELFT 6
19914168,DELFT 6
19913846,VOORBRUG
19913845,VOORBRUG
19913841,VOORBRUG
19913849,VOORBRUG
19913848,VOORBRUG
19914211,VOORBRUG
19914214,VOORBRUG
19913850,VOORBRUG
19913844,VOORBRUG
19914369,VOORBRUG
19914209,VOORBRUG
19913851,VOORBRUG
19913839,VOORBRUG
19913843,VOORBRUG
19914208,VOORBRUG
19914210,VOORBRUG
19914207,DELFT 8
19914327,DELFT 8
19914204,DELFT 8
19914200,DELFT 8
19913440,DELFT 8
19914203,EINDHOVEN
19914206,EINDHOVEN
19914201,EINDHOVEN
19914323,EINDHOVEN
19913835,EINDHOVEN
19913840,EINDHOVEN
19913834,EINDHOVEN
19914205,EINDHOVEN
19913443,DELFT 7
19914156,DELFT 7
19914263,DELFT 9
19914142,DELFT 9
19913435,DELFT 9
19914140,DELFT 9
19914138,DELFT 9
19914141,DELFT 9
19913432,DELFT 9
19914144,DELFT 9
19913354,AIRPORT
19913355,AIRPORT
19910779,PARKWOOD
19910783,PARKWOOD
19910781,PARKWOOD
19910761,PARKWOOD
19910774,PARKWOOD
19912590,PARKWOOD
19910784,PARKWOOD
19912589,PARKWOOD
19911037,LAVENDER HILL
19911219,LAVENDER HILL
19911225,LAVENDER HILL
19911040,LAVENDER HILL
19911032,LAVENDER HILL
19911031,LAVENDER HILL
19911224,LAVENDER HILL
19911033,LAVENDER HILL
19911038,LAVENDER HILL
19911042,LAVENDER HILL
19911325,BEACON VALLEY
19912248,BEACON VALLEY
19912209,BEACON VALLEY
19911341,BEACON VALLEY
19912211,BEACON VALLEY
19911819,BEACON VALLEY
19912247,BEACON VALLEY
19912208,BEACON VALLEY
19912207,BEACON VALLEY
19911342,BEACON VALLEY
19911330,BEACON VALLEY
19911340,BEACON VALLEY
19911817,BEACON VALLEY
19911333,BEACON VALLEY
19911818,BEACON VALLEY
19912569,BEACON VALLEY
19912214,BEACON VALLEY
19912212,BEACON VALLEY
19912213,BEACON VALLEY
19911816,BEACON VALLEY
19911820,BEACON VALLEY
19911331,BEACON VALLEY
19911328,BEACON VALLEY
19912215,BEACON VALLEY
19911821,BEACON VALLEY
19912246,BEACON VALLEY
19911327,BEACON VALLEY
19912210,BEACON VALLEY
19911334,BEACON VALLEY
19911815,BEACON VALLEY
19911332,BEACON VALLEY
19911417,PORTLAND
19911418,PORTLAND
19911337,PORTLAND
19911414,PORTLAND
19911419,PORTLAND
19911420,PORTLAND
19911322,PORTLAND
19911315,PORTLAND
19911411,PORTLAND
19911316,PORTLAND
19912205,PORTLAND
19911314,PORTLAND
19911326,PORTLAND
19911336,PORTLAND
19911338,PORTLAND
19911841,PORTLAND
19911329,PORTLAND
19911261,PORTLAND
19911415,PORTLAND
19911413,PORTLAND
19911421,PORTLAND
19911842,PORTLAND
19911312,PORTLAND
19911324,PORTLAND
19911323,PORTLAND
19911311,PORTLAND
19911412,WESTRIDGE - MITCHELLS PLAIN
19911157,WESTRIDGE - MITCHELLS PLAIN
19911409,WESTRIDGE - MITCHELLS PLAIN
19911408,WESTRIDGE - MITCHELLS PLAIN
19911151,WESTRIDGE - MITCHELLS PLAIN
19911155,WESTRIDGE - MITCHELLS PLAIN
19911152,WESTRIDGE - MITCHELLS PLAIN
19911145,WESTRIDGE - MITCHELLS PLAIN
19911146,WESTRIDGE - MITCHELLS PLAIN
19911156,WESTRIDGE - MITCHELLS PLAIN
19911154,WESTRIDGE - MITCHELLS PLAIN
19911161,WESTRIDGE - MITCHELLS PLAIN
19912035,WESTRIDGE - MITCHELLS PLAIN
19911147,WESTRIDGE - MITCHELLS PLAIN
19911159,WESTRIDGE - MITCHELLS PLAIN
19911153,WESTRIDGE - MITCHELLS PLAIN
19912036,WESTRIDGE - MITCHELLS PLAIN
19911149,WESTRIDGE - MITCHELLS PLAIN
19911407,WESTRIDGE - MITCHELLS PLAIN
19911163,WESTRIDGE - MITCHELLS PLAIN
19911406,WESTRIDGE - MITCHELLS PLAIN
19911404,WESTRIDGE - MITCHELLS PLAIN
19911158,WESTRIDGE - MITCHELLS PLAIN
19911150,WESTRIDGE - MITCHELLS PLAIN
19911160,WESTRIDGE - MITCHELLS PLAIN
19911335,MITCHELLS PLAIN CBD
19911318,MITCHELLS PLAIN CBD
19911320,MITCHELLS PLAIN CBD
19911441,NEW WOODLANDS
19911447,NEW WOODLANDS
19911363,NEW WOODLANDS
19911450,NEW WOODLANDS
19911443,NEW WOODLANDS
19911451,NEW WOODLANDS
19911178,HIGHLANDS VILLAGE
19912255,RONDEVLEI PARK
19912260,RONDEVLEI PARK
19911172,RONDEVLEI PARK
19912264,COLORADO PARK
19911180,COLORADO PARK
19912262,COLORADO PARK
19911179,COLORADO PARK
19911185,COLORADO PARK
19911186,COLORADO PARK
19912631,COLORADO PARK
19910512,WESTLAKE
19910513,WESTLAKE
19910515,WESTLAKE
19910514,WESTLAKE
19911002,WESTLAKE
19910509,WESTLAKE
19910505,WESTLAKE
19910516,WESTLAKE
19911249,WOLFGAT NATURE RESERVE
19910936,VRYGROND
19910715,VRYGROND
19911023,VRYGROND
19910714,VRYGROND
19910719,VRYGROND
19910713,VRYGROND
19910712,VRYGROND
19913838,ROTTERDAM
19913184,ROTTERDAM
19914361,GAYLEE
19914360,GAYLEE
19914281,GAYLEE
19914279,AUSTINVILLE
19913152,FOUNTAIN VILLAGE
19913806,FOUNTAIN VILLAGE
19912909,ROSEDALE - KLEIN VLEI
19914116,ROSEDALE - KLEIN VLEI
19912886,ROSEDALE - KLEIN VLEI
19912889,ROSEDALE - KLEIN VLEI
19912890,ROSEDALE - KLEIN VLEI
19914119,ROSEDALE - KLEIN VLEI
19914117,ROSEDALE - KLEIN VLEI
19914233,ROSEDALE - KLEIN VLEI
19914114,ROSEDALE - KLEIN VLEI
19912910,ROSEDALE - KLEIN VLEI
19912911,ROSEDALE - KLEIN VLEI
19912907,ROSEDALE - KLEIN VLEI
19912887,ROSEDALE - KLEIN VLEI
19912888,ROSEDALE - KLEIN VLEI
19914115,ROSEDALE - KLEIN VLEI
19913253,HILLCREST HEIGHTS
19913251,HILLCREST HEIGHTS
19912901,HILLCREST HEIGHTS
19912902,HILLCREST HEIGHTS
19912883,FOREST HEIGHTS
19912904,FOREST HEIGHTS
19912905,FOREST HEIGHTS
19912882,FOREST HEIGHTS
19912906,FOREST HEIGHTS
19912900,FOREST HEIGHTS
19912884,FOREST HEIGHTS
19912903,FOREST HEIGHTS
19912649,EERSTERIVIER SOUTH
19912644,EERSTERIVIER SOUTH
19912648,EERSTERIVIER SOUTH
19912646,EERSTERIVIER SOUTH
19912641,EERSTERIVIER SOUTH
19913038,EERSTERIVIER SOUTH
19912640,EERSTERIVIER SOUTH
19912643,EERSTERIVIER SOUTH
19911564,BARNET MOLOKWANA CORNER
19912937,BARNET MOLOKWANA CORNER
19912677,BARNET MOLOKWANA CORNER
19912918,BARNET MOLOKWANA CORNER
19912839,BARNET MOLOKWANA CORNER
19911562,BARNET MOLOKWANA CORNER
19912840,BARNET MOLOKWANA CORNER
19912915,BARNET MOLOKWANA CORNER
19912945,BARNET MOLOKWANA CORNER
19912682,BARNET MOLOKWANA CORNER
19912916,BARNET MOLOKWANA CORNER
19912938,BARNET MOLOKWANA CORNER
19912675,BARNET MOLOKWANA CORNER
19912837,BARNET MOLOKWANA CORNER
19911560,BARNET MOLOKWANA CORNER
19911737,BARNET MOLOKWANA CORNER
19911565,BARNET MOLOKWANA CORNER
19911563,BARNET MOLOKWANA CORNER
19912676,BARNET MOLOKWANA CORNER
19911738,BARNET MOLOKWANA CORNER
19911734,BARNET MOLOKWANA CORNER
19912943,BARNET MOLOKWANA CORNER
19912838,BARNET MOLOKWANA CORNER
19912936,BARNET MOLOKWANA CORNER
19912917,BARNET MOLOKWANA CORNER
19911561,DREAMWORLD
19911465,KUYASA
19911575,KUYASA
19911461,KUYASA
19911579,KUYASA
19911459,KUYASA
19911573,KUYASA
19911454,KUYASA
19911456,KUYASA
19911472,KUYASA
19911455,KUYASA
19911462,KUYASA
19911467,KUYASA
19911571,KUYASA
19911578,KUYASA
19911458,KUYASA
19911583,KUYASA
19911580,KUYASA
19911474,KUYASA
19911469,KUYASA
19911463,KUYASA
19911468,KUYASA
19911780,KUYASA
19911453,KUYASA
19911457,KUYASA
19911577,KUYASA
19911475,KUYASA
19911568,KUYASA
19910331,HELDERBERG ESTATE
19910960,JONKERS HOOGTE
19910964,JONKERS HOOGTE
19912206,BEL'AIRE
19910316,PEARL RISE
19910319,MONTCHERE
19910317,PEARL MARINA
19912010,WORLD'S VIEW - SOMERSET WEST
19910948,SOMERSET RIDGE
19911226,SOMERSET RIDGE
19911228,SOMERSET RIDGE
19911227,SOMERSET RIDGE
19910084,PROTEA PARK - GORDON'S BAY
19910377,GEORGE PARK
19910090,HIGH RIDING
19910572,MORNINGSIDE
19910409,PAARDE VLEI
19910293,HUMANSHOF
19910315,GOEDE HOOP
19910291,BRIDGEBANK
19910292,LONGDOWN ESTATE
19911089,BENE TOWNSHIP
19910273,CHRIS NISSEN PARK
19910019,MISTY CLIFFS
19913735,BELTHORN ESTATE
19912539,BELTHORN ESTATE
19915728,KRAAIFONTEIN INDUSTRIA
19915729,KRAAIFONTEIN INDUSTRIA
19910944,GOEDEHOOP
19910403,GOEDEHOOP
19910406,VICTORIA PARK
19910404,VICTORIA PARK
19910407,LOURENSIA PARK
19911092,JACQUES HILL
19910308,DORHILL
19910311,DORHILL
19910312,DORHILL
19911088,ROUNDHAY
19911090,ROUNDHAY
19910330,SPANISH FARM
19911100,HELDERRANT
19911101,LA SANDRA
19910320,BRIZA
19910310,BRIZA
19910314,BRIZA
19910318,BRIZA
19910951,DIE WINGERD
19911231,DIE WINGERD
19910967,HELDERBERG VILLAGE
19910966,HELDERBERG VILLAGE
19912165,HELDERBERG VILLAGE
19911643,RIVERSIDE
19911645,RIVERSIDE
19911646,RIVERSIDE
19911644,RIVERSIDE
19910555,ROME GLEN
19910553,ROME GLEN
19910977,DEEPFREEZE
19911233,MACASSAR BEACH
19911232,MACASSAR BEACH
19916252,BLOUBERG SANDS
19916264,BLOUBERG SANDS
19916265,BLOUBERG SANDS
19916258,BLOUBERG SANDS
19910172,BROADLANDS PARK
19910171,BROADLANDS PARK
19910173,BROADLANDS PARK
19910235,BROADLANDS PARK
19910174,BROADLANDS PARK
19910170,BROADLANDS PARK
19910175,BROADLANDS PARK
19916111,WEST RIDING
19916062,WEST RIDING
19911992,METRO
19910963,VREDENBERG - SOMERSET WEST
19913833,BRENTWOOD PARK - BLUE DOWNS
19913831,BRENTWOOD PARK - BLUE DOWNS
19913224,ELIM
19915063,AMANDELSIG
19914315,AMANDELSIG
19913191,CAMELOT
19914403,CAMELOT
19911767,HARARE
19911684,HARARE
19911466,HARARE
19911694,HARARE
19911682,HARARE
19911685,HARARE
19911677,HARARE
19911768,HARARE
19911464,HARARE
19911681,HARARE
19911675,HARARE
19911687,HARARE
19912065,HARARE
19911769,HARARE
19911691,HARARE
19911683,HARARE
19911693,HARARE
19911473,HARARE
19911676,HARARE
19911678,HARARE
19911770,HARARE
19911766,HARARE
19911765,HARARE
19912066,HARARE
19911680,HARARE
19911689,HARARE
19911764,HARARE
19911686,HARARE
19912067,HARARE
19911471,HARARE
19911944,ROSEBANK
19914460,ROSEBANK
19914456,ROSEBANK
19914458,ROSEBANK
19911946,ROSEBANK
19911943,ROSEBANK
19914454,ROSEBANK
19911850,HEATHFIELD
19910640,HEATHFIELD
19912553,BELGRAVIA
19914339,BELGRAVIA
19914340,BELGRAVIA
19912558,BELGRAVIA
19912544,BELGRAVIA
19912550,BELGRAVIA
19914341,BELGRAVIA
19912555,BELGRAVIA
19914052,RYLANDS
19914056,RYLANDS
19914054,RYLANDS
19914055,RYLANDS
19914338,RYLANDS
19914047,GATESVILLE
19914365,GATESVILLE
19914051,GATESVILLE
19914366,GATESVILLE
19914053,GATESVILLE
19914048,GATESVILLE
19914049,GATESVILLE
19911234,LAND EN ZEEZICHT
19910574,LAND EN ZEEZICHT
19910570,LAND EN ZEEZICHT
19910569,LAND EN ZEEZICHT
19915258,EVERITE INDUSTRIA
19916058,SUNRIDGE
19911858,ELFINDALE
19910759,ELFINDALE
19911857,ELFINDALE
19912223,ELFINDALE
19910408,HELDERZICHT
19911012,GARDEN VILLAGE
19910410,MALL TRIANGLE
19910305,SOMERSET WEST COUNTRY CLUB
19915884,RICHWOOD
19914432,HAGLEY
19913188,HAGLEY
19914287,HAGLEY
19913190,HAGLEY
19913192,HAGLEY
19914283,WIMBLEDON ESTATE
19913182,WIMBLEDON ESTATE
19913180,WIMBLEDON ESTATE
19914286,WIMBLEDON ESTATE
19913183,WIMBLEDON ESTATE
19910554,OLIVE GROVE
19914405,RUSTDAL
19914404,RUSTDAL
19914296,SAXENBURG PARK 1
19915939,AVALON ESTATE
19915925,PINEHURST
19915922,PINEHURST
19915935,PINEHURST
19915233,SONEIKE II
19914321,ROUXVILLE
19913226,JAN KRIEL
19913163,HINDLE PARK
19916309,WITSAND
19916306,WITSAND
19916379,MAMRE
19912563,KEWTOWN
19910867,KEWTOWN
19910862,KEWTOWN
19910864,KEWTOWN
19912566,KEWTOWN
19910865,KEWTOWN
19912565,KEWTOWN
19910856,KEWTOWN
19910978,MARVINPARK
19910973,NEW SCHEME
19911991,RUGBY
19910265,NOMZAMO
19910253,NOMZAMO
19910207,NOMZAMO
19910525,NOMZAMO
19910256,NOMZAMO
19910204,NOMZAMO
19910264,NOMZAMO
19910258,NOMZAMO
19910252,NOMZAMO
19910260,NOMZAMO
19910271,NOMZAMO
19910272,NOMZAMO
19910249,NOMZAMO
19910254,NOMZAMO
19910526,NOMZAMO
19910268,NOMZAMO
19910527,NOMZAMO
19910493,NOMZAMO
19910267,NOMZAMO
19910270,NOMZAMO
19910494,NOMZAMO
19910269,NOMZAMO
19910263,ONVERWACHT VILLAGE
19910274,FERNWOOD
19916412,PELLA
19916413,PELLA
19916414,PELLA
19915741,WALLACEDENE
19915714,WALLACEDENE
19915732,WALLACEDENE
19915718,WALLACEDENE
19915710,WALLACEDENE
19915698,WALLACEDENE
19915708,WALLACEDENE
19915713,WALLACEDENE
19914290,KUILS RIVER COMMON
19915620,BOTHASIG
19915195,SONNEKUIL
19913227,SONEIKE I
19911091,STUART'S HILL
19910583,NOORDHOEK
19910429,NOORDHOEK
19910585,NOORDHOEK
19910431,NOORDHOEK
19910422,NOORDHOEK
19910433,NOORDHOEK
19910424,NOORDHOEK
19910426,NOORDHOEK
19910438,NOORDHOEK
19910432,NOORDHOEK
19910430,NOORDHOEK
19910435,NOORDHOEK
19910425,NOORDHOEK
19910423,NOORDHOEK
19913618,SAND INDUSTRIA
19914038,HANOVER PARK
19914103,HANOVER PARK
19912523,HANOVER PARK
19914027,HANOVER PARK
19914032,HANOVER PARK
19914040,HANOVER PARK
19912520,HANOVER PARK
19914029,HANOVER PARK
19914034,HANOVER PARK
19914189,HANOVER PARK
19914190,HANOVER PARK
19914098,HANOVER PARK
19914100,HANOVER PARK
19914039,HANOVER PARK
19914036,HANOVER PARK
19914035,HANOVER PARK
19914037,HANOVER PARK
19914191,HANOVER PARK
19912516,HANOVER PARK
19914099,HANOVER PARK
19914030,HANOVER PARK
19914102,HANOVER PARK
19914025,HANOVER PARK
19914031,HANOVER PARK
19914101,HANOVER PARK
19911108,STRANDFONTEIN
19911121,STRANDFONTEIN
19911120,STRANDFONTEIN
19911236,STRANDFONTEIN
19911239,STRANDFONTEIN
19911104,STRANDFONTEIN
19911117,STRANDFONTEIN
19911131,STRANDFONTEIN
19911237,STRANDFONTEIN
19911235,STRANDFONTEIN
19911124,STRANDFONTEIN
19911123,STRANDFONTEIN
19911020,STRANDFONTEIN
19911118,STRANDFONTEIN
19911127,STRANDFONTEIN
19911109,STRANDFONTEIN
19911021,STRANDFONTEIN
19911018,STRANDFONTEIN
19911015,STRANDFONTEIN
19911102,STRANDFONTEIN
19911103,STRANDFONTEIN
19911125,STRANDFONTEIN
19911110,STRANDFONTEIN
19911242,STRANDFONTEIN
19911129,STRANDFONTEIN
19911116,STRANDFONTEIN
19915175,GOODWOOD ESTATE
